SampleID	P(alleged label)	P(second best)	P(alleged label)-P(second best)
L2S1.273670	0.994623655913978	0.00537634408602151	0.989247311827957
L2S10.274052	0.974489795918367	0.0255102040816327	0.948979591836735
L2S11.274220	1	0	1
L2S12.274348	0.96969696969697	0.0303030303030303	0.939393939393939
L2S13.273885	0.99438202247191	0.00561797752808989	0.98876404494382
L2S14.274730	1	0	1
L2S15.274449	0.989473684210526	0.0105263157894737	0.978947368421053
L2S16.273836	0.973404255319149	0.0265957446808511	0.946808510638298
L2S17.274246	0.984042553191489	0.0159574468085106	0.968085106382979
L2S18.274071	0.989637305699482	0.0103626943005181	0.979274611398964
L2S19.275049	1	0	1
L2S2.274088	0.976047904191617	0.0239520958083832	0.952095808383234
L2S20.274098	1	0	1
L2S21.274770	1	0	1
L2S22.274974	0.972527472527473	0.0274725274725275	0.945054945054945
L2S23.275132	0.994535519125683	0.00546448087431694	0.989071038251366
L2S24.274902	1	0	1
L2S25.273926	0.99468085106383	0.00531914893617021	0.98936170212766
L2S26.274870	0.989189189189189	0.0108108108108108	0.978378378378378
L2S28.274711	0.994413407821229	0.00558659217877095	0.988826815642458
L2S29.273464	1	0	1
L2S3.273423	1	0	1
L2S30.274665	0.967391304347826	0.0326086956521739	0.934782608695652
L2S31.273258	1	0	1
L2S32.273780	1	0	1
L2S33.275034	0.994413407821229	0.00558659217877095	0.988826815642458
L2S34.274160	1	0	1
L2S35.274125	1	0	1
L2S36.274819	1	0	1
L2S38.274986	1	0	1
L2S39.273828	0.994594594594595	0.00540540540540541	0.989189189189189
L2S4.274408	0.977272727272727	0.0227272727272727	0.954545454545455
L2S40.274521	0.994652406417112	0.0053475935828877	0.989304812834225
L2S41.274536	0.994219653179191	0.00578034682080925	0.988439306358381
L2S42.274282	0.988505747126437	0.0114942528735632	0.977011494252874
L2S43.273410	0.973118279569892	0.0268817204301075	0.946236559139785
L2S44.274128	1	0	1
L2S45.274136	1	0	1
L2S46.274196	1	0	1
L2S47.273331	1	0	1
L2S48.274848	0.975308641975309	0.0246913580246914	0.950617283950617
L2S49.273493	0.993865030674847	0.00613496932515337	0.987730061349693
L2S5.274932	0.990338164251208	0.00966183574879227	0.980676328502415
L2S50.274129	0.994708994708995	0.00529100529100529	0.989417989417989
L2S51.274458	0.994350282485876	0.00564971751412429	0.988700564971752
L2S52.274510	0.994623655913978	0.00537634408602151	0.989247311827957
L2S53.274744	0.988888888888889	0.0111111111111111	0.977777777777778
L2S54.273803	1	0	1
L2S55.273237	1	0	1
L2S56.274152	0.994764397905759	0.00523560209424084	0.989528795811518
L2S57.273720	0.67816091954023	0.32183908045977	0.35632183908046
L2S58.275074	0.978723404255319	0.0212765957446809	0.957446808510638
L2S59.273382	1	0	1
L2S6.273637	0.989189189189189	0.0108108108108108	0.978378378378378
L2S60.273730	1	0	1
L2S61.274821	1	0	1
L2S62.274700	1	0	1
L2S63.274401	1	0	1
L2S64.273911	1	0	1
L2S65.273492	0.985576923076923	0.0144230769230769	0.971153846153846
L2S66.273772	1	0	1
L2S67.274224	1	0	1
L2S68.274198	0.989247311827957	0.010752688172043	0.978494623655914
L2S69.274304	1	0	1
L2S7.274964	0.988826815642458	0.0111731843575419	0.977653631284916
